_step,ep_info/Goal,seed,method
79872,0,1787866265,Base SO RL
79919,0,1787866265,Base SO RL
80200,0,1787866265,Base SO RL
80248,0,1787866265,Base SO RL
80295,0,1787866265,Base SO RL
80324,0,1787866265,Base SO RL
80373,0,1787866265,Base SO RL
80672,0,1787866265,Base SO RL
80858,0,1787866265,Base SO RL
80991,0,1787866265,Base SO RL
81111,0,1787866265,Base SO RL
81155,0,1787866265,Base SO RL
81255,0,1787866265,Base SO RL
81391,0,1787866265,Base SO RL
81400,0,1787866265,Base SO RL
81448,0,1787866265,Base SO RL
81472,0,1787866265,Base SO RL
81790,0,1787866265,Base SO RL
81865,0,1787866265,Base SO RL
82058,0,1787866265,Base SO RL
82265,0,1787866265,Base SO RL
82272,0,1787866265,Base SO RL
82458,0,1787866265,Base SO RL
82509,0,1787866265,Base SO RL
82600,0,1787866265,Base SO RL
82841,0,1787866265,Base SO RL
82858,0,1787866265,Base SO RL
83048,0,1787866265,Base SO RL
83072,0,1787866265,Base SO RL
83106,1,1787866265,Base SO RL
83258,0,1787866265,Base SO RL
83391,0,1787866265,Base SO RL
83506,0,1787866265,Base SO RL
83559,0,1787866265,Base SO RL
83715,0,1787866265,Base SO RL
83887,0,1787866265,Base SO RL
83959,0,1787866265,Base SO RL
83960,0,1787866265,Base SO RL
84041,0,1787866265,Base SO RL
84146,0,1787866265,Base SO RL
84191,0,1787866265,Base SO RL
84324,0,1787866265,Base SO RL
84360,0,1787866265,Base SO RL
84648,0,1787866265,Base SO RL
84665,0,1787866265,Base SO RL
84687,0,1787866265,Base SO RL
84797,0,1787866265,Base SO RL
85048,0,1787866265,Base SO RL
85124,0,1787866265,Base SO RL
85128,0,1787866265,Base SO RL
85160,0,1787866265,Base SO RL
85222,0,1787866265,Base SO RL
85395,0,1787866265,Base SO RL
85559,0,1787866265,Base SO RL
85622,0,1787866265,Base SO RL
85746,0,1787866265,Base SO RL
85819,0,1787866265,Base SO RL
85872,0,1787866265,Base SO RL
85906,0,1787866265,Base SO RL
85924,0,1787866265,Base SO RL
85997,0,1787866265,Base SO RL
86191,0,1787866265,Base SO RL
86219,0,1787866265,Base SO RL
86265,0,1787866265,Base SO RL
86284,0,1787866265,Base SO RL
86287,0,1787866265,Base SO RL
86317,0,1787866265,Base SO RL
86424,1,1787866265,Base SO RL
86501,0,1787866265,Base SO RL
86717,0,1787866265,Base SO RL
86797,0,1787866265,Base SO RL
86822,0,1787866265,Base SO RL
86939,1,1787866265,Base SO RL
86967,0,1787866265,Base SO RL
87117,0,1787866265,Base SO RL
87484,0,1787866265,Base SO RL
87739,0,1787866265,Base SO RL
87827,0,1787866265,Base SO RL
87884,0,1787866265,Base SO RL
88139,0,1787866265,Base SO RL
88298,1,1787866265,Base SO RL
88359,0,1787866265,Base SO RL
88393,-1,1787866265,Base SO RL
88582,0,1787866265,Base SO RL
88665,0,1787866265,Base SO RL
88698,0,1787866265,Base SO RL
88751,0,1787866265,Base SO RL
88861,0,1787866265,Base SO RL
88982,0,1787866265,Base SO RL
89027,0,1787866265,Base SO RL
89193,0,1787866265,Base SO RL
89431,0,1787866265,Base SO RL
89465,0,1787866265,Base SO RL
89469,0,1787866265,Base SO RL
89506,0,1787866265,Base SO RL
89529,0,1787866265,Base SO RL
89559,0,1787866265,Base SO RL
89829,0,1787866265,Base SO RL
89831,0,1787866265,Base SO RL
89898,0,1787866265,Base SO RL
89964,0,1787866265,Base SO RL
90139,0,1787866265,Base SO RL
90329,0,1787866265,Base SO RL
