_step,ep_info/Goal,seed,condition
139328,0,1778554757,nominal
139393,0,1778554757,nominal
139432,0,1778554757,nominal
139619,0,1778554757,nominal
140037,0,1778554757,nominal
140140,1,1778554757,nominal
140157,1,1778554757,nominal
140225,1,1778554757,nominal
140425,1,1778554757,nominal
140541,0,1778554757,nominal
140618,0,1778554757,nominal
140794,0,1778554757,nominal
140813,0,1778554757,nominal
140960,1,1778554757,nominal
141224,1,1778554757,nominal
141269,0,1778554757,nominal
141289,0,1778554757,nominal
141361,1,1778554757,nominal
141666,1,1778554757,nominal
141669,0,1778554757,nominal
141689,0,1778554757,nominal
141761,0,1778554757,nominal
141932,0,1778554757,nominal
142186,1,1778554757,nominal
142426,-1,1778554757,nominal
142502,1,1778554757,nominal
142554,0,1778554757,nominal
142651,1,1778554757,nominal
142671,0,1778554757,nominal
142672,1,1778554757,nominal
142953,0,1778554757,nominal
143156,1,1778554757,nominal
143448,0,1778554757,nominal
143545,0,1778554757,nominal
143578,0,1778554757,nominal
143771,-1,1778554757,nominal
143998,0,1778554757,nominal
144211,0,1778554757,nominal
144367,1,1778554757,nominal
144679,-1,1778554757,nominal
144786,1,1778554757,nominal
144902,0,1778554757,nominal
145088,1,1778554757,nominal
145161,1,1778554757,nominal
145207,0,1778554757,nominal
145353,0,1778554757,nominal
145408,1,1778554757,nominal
145437,0,1778554757,nominal
145501,1,1778554757,nominal
145985,0,1778554757,nominal
146005,0,1778554757,nominal
146065,0,1778554757,nominal
146125,1,1778554757,nominal
146247,0,1778554757,nominal
146647,0,1778554757,nominal
146653,1,1778554757,nominal
146664,1,1778554757,nominal
146820,-1,1778554757,nominal
146902,1,1778554757,nominal
146988,1,1778554757,nominal
147015,0,1778554757,nominal
147039,0,1778554757,nominal
147249,1,1778554757,nominal
147290,1,1778554757,nominal
147634,1,1778554757,nominal
147842,1,1778554757,nominal
147941,1,1778554757,nominal
148002,1,1778554757,nominal
148004,0,1778554757,nominal
148055,1,1778554757,nominal
148278,1,1778554757,nominal
148387,0,1778554757,nominal
148464,1,1778554757,nominal
148577,0,1778554757,nominal
148642,0,1778554757,nominal
149047,1,1778554757,nominal
149071,1,1778554757,nominal
149202,0,1778554757,nominal
149527,1,1778554757,nominal
149658,1,1778554757,nominal
149700,0,1778554757,nominal
149799,1,1778554757,nominal
149984,0,1778554757,nominal
150018,1,1778554757,nominal
150022,1,1778554757,nominal
150161,1,1778554757,nominal
150179,1,1778554757,nominal
150230,1,1778554757,nominal
150337,1,1778554757,nominal
150341,1,1778554757,nominal
150561,0,1778554757,nominal
150670,-1,1778554757,nominal
150721,0,1778554757,nominal
150982,0,1778554757,nominal
150987,1,1778554757,nominal
151204,-1,1778554757,nominal
151364,1,1778554757,nominal
151573,-1,1778554757,nominal
151644,1,1778554757,nominal
151757,-1,1778554757,nominal
151854,1,1778554757,nominal
151957,0,1778554757,nominal
151964,0,1778554757,nominal
151973,0,1778554757,nominal
152044,0,1778554757,nominal
152202,0,1778554757,nominal
152239,1,1778554757,nominal
152293,1,1778554757,nominal
152311,0,1778554757,nominal
152639,0,1778554757,nominal
152729,0,1778554757,nominal
152732,0,1778554757,nominal
153054,1,1778554757,nominal
153058,1,1778554757,nominal
153160,1,1778554757,nominal
153298,1,1778554757,nominal
153312,0,1778554757,nominal
153367,1,1778554757,nominal
153814,0,1778554757,nominal
153873,1,1778554757,nominal
154056,0,1778554757,nominal
154091,0,1778554757,nominal
154167,0,1778554757,nominal
154220,1,1778554757,nominal
154378,1,1778554757,nominal
154382,0,1778554757,nominal
154494,0,1778554757,nominal
154609,1,1778554757,nominal
154626,0,1778554757,nominal
154766,1,1778554757,nominal
154915,1,1778554757,nominal
155073,0,1778554757,nominal
155153,0,1778554757,nominal
155182,0,1778554757,nominal
155294,0,1778554757,nominal
155532,0,1778554757,nominal
