"Step","env: VSS_TUNED - ep_info/Goal","env: VSS_TUNED - ep_info/Goal__MIN","env: VSS_TUNED - ep_info/Goal__MAX"
"13464","0","0","0"
"13467","0","0","0"
"13485","0","0","0"
"13491","0","0","0"
"13499","0","0","0"
"13517","0","0","0"
"13522","0","0","0"
"13533","0","0","0"
"13578","0","0","0"
"13599","0","0","0"
"13607","0","0","0"
"13630","0","0","0"
"13633","0","0","0"
"13657","0","0","0"
"13661","0","0","0"
"13665","0","0","0"
"13674","0","0","0"
"13693","0","0","0"
"13694","0","0","0"
"13711","0","0","0"
"13716","0","0","0"
"13736","0","0","0"
"13750","0","0","0"
"13751","0","0","0"
"13752","0","0","0"
"13782","0","0","0"
"13792","0","0","0"
"13794","0","0","0"
"13844","0","0","0"
"13846","0","0","0"
"13847","0","0","0"
"13848","0","0","0"
"13864","0","0","0"
"13894","0","0","0"
"13900","0","0","0"
"13922","0","0","0"
"13928","0","0","0"
"13940","0","0","0"
"13967","0","0","0"
"13984","0","0","0"
"13999","0","0","0"
"14001","0","0","0"
"14009","0","0","0"
"14011","0","0","0"
"14061","0","0","0"
"14065","0","0","0"
"14073","0","0","0"
"14126","0","0","0"
"14136","-1","-1","-1"
"14170","0","0","0"
"14172","0","0","0"
"14183","0","0","0"
"14203","0","0","0"
"14204","0","0","0"
"14206","0","0","0"
"14215","0","0","0"
"14221","0","0","0"
"14246","0","0","0"
"14261","0","0","0"
"14263","0","0","0"
"14291","0","0","0"
"14314","0","0","0"
"14317","0","0","0"
"14319","0","0","0"
"14328","0","0","0"
"14348","0","0","0"
"14362","0","0","0"
"14375","0","0","0"
"14411","0","0","0"
"14412","0","0","0"
"14433","0","0","0"
"14437","0","0","0"
"14446","0","0","0"
"14464","0","0","0"
"14465","0","0","0"
"14475","1","1","1"
"14486","0","0","0"
"14493","0","0","0"
"14523","0","0","0"
"14552","0","0","0"
"14571","0","0","0"
"14582","0","0","0"
"14592","0","0","0"
"14599","0","0","0"
"14604","0","0","0"
"14606","0","0","0"
"14623","0","0","0"
"14644","0","0","0"
"14646","0","0","0"
"14647","0","0","0"
"14648","0","0","0"
"14675","0","0","0"
"14685","0","0","0"
"14691","0","0","0"
"14694","0","0","0"
"14711","-1","-1","-1"
"14719","0","0","0"
"14759","0","0","0"
"14767","0","0","0"
"14769","0","0","0"
"14775","0","0","0"
"14798","0","0","0"
"14799","0","0","0"
"14807","0","0","0"
"14809","0","0","0"
"14812","0","0","0"
"14838","0","0","0"
"14886","0","0","0"
"14893","0","0","0"
"14923","0","0","0"
"14934","0","0","0"
"14936","0","0","0"
"14949","1","1","1"
"14952","0","0","0"
"14956","1","1","1"
"14972","0","0","0"
"14980","0","0","0"
"14990","0","0","0"
"14994","0","0","0"
"15015","0","0","0"
"15021","0","0","0"
"15023","0","0","0"
"15046","0","0","0"
"15047","0","0","0"
"15048","0","0","0"
"15071","0","0","0"
"15075","0","0","0"
"15086","0","0","0"
"15099","0","0","0"
"15122","0","0","0"
"15126","0","0","0"
"15140","0","0","0"
"15142","0","0","0"
"15146","0","0","0"
"15148","0","0","0"
"15158","0","0","0"
"15159","0","0","0"
"15162","0","0","0"
"15164","0","0","0"
"15168","0","0","0"
"15184","0","0","0"
"15199","0","0","0"
"15207","0","0","0"
"15224","0","0","0"
"15230","0","0","0"
"15237","0","0","0"
"15246","0","0","0"
"15261","0","0","0"
"15264","0","0","0"
"15273","0","0","0"
"15275","0","0","0"
"15352","0","0","0"
"15359","0","0","0"
"15379","0","0","0"
"15382","0","0","0"
"15383","0","0","0"
"15390","0","0","0"
"15392","0","0","0"
"15394","0","0","0"
"15423","0","0","0"
"15446","0","0","0"
"15447","0","0","0"
"15469","0","0","0"
"15475","0","0","0"
"15488","0","0","0"
"15499","0","0","0"
"15519","0","0","0"
"15528","0","0","0"
"15533","0","0","0"
"15534","0","0","0"
"15535","0","0","0"
"15545","0","0","0"
"15548","0","0","0"
"15558","0","0","0"
"15559","0","0","0"
"15567","0","0","0"
"15568","0","0","0"
"15578","0","0","0"
"15599","0","0","0"
"15606","0","0","0"
"15624","0","0","0"
"15638","0","0","0"
"15646","0","0","0"
"15674","0","0","0"
"15719","0","0","0"
"15723","0","0","0"
"15736","0","0","0"
"15748","0","0","0"
"15750","0","0","0"
"15752","0","0","0"
"15769","1","1","1"
"15772","0","0","0"
"15782","0","0","0"
"15790","0","0","0"
"15793","1","1","1"
"15804","-0.5","-1","0"
"15821","0","0","0"
"15823","0","0","0"
"15824","0","0","0"
"15827","-1","-1","-1"
"15832","0","0","0"
"15854","0","0","0"
"15869","0","0","0"
"15878","0","0","0"
"15885","0","0","0"
"15888","0","0","0"
"15899","0","0","0"
"15900","0","0","0"
"15917","0","0","0"
"15919","0","0","0"
"15920","0","0","0"
"15927","-1","-1","-1"
"15940","0","0","0"
"15945","0","0","0"
"15958","0","0","0"
"15962","0","0","0"
"15964","0","0","0"
"15967","0","0","0"
"15982","0","0","0"
"15999","0","0","0"
"16007","0","0","0"
"16009","0","0","0"
"16011","0","0","0"
"16012","0","0","0"
"16018","1","1","1"
"16020","-1","-1","-1"
"16026","1","1","1"
"16033","0","0","0"
"16036","-1","-1","-1"
"16061","0","0","0"
"16063","0","0","0"
"16064","0","0","0"
"16075","0","0","0"
"16111","0","0","0"
"16127","0","0","0"
"16136","0","0","0"
"16148","0","0","0"
"16150","0","0","0"
"16152","0","0","0"
"16170","0","0","0"
"16171","0","0","0"
"16180","0","0","0"
"16207","0","0","0"
"16221","0","0","0"
"16247","0","0","0"
"16271","0","0","0"
"16285","0","0","0"
"16311","0","0","0"
"16319","0","0","0"
"16333","0","0","0"
"16335","0","0","0"
"16339","0","0","0"
"16346","0","0","0"
"16348","0","0","0"
"16359","0","0","0"
"16365","1","1","1"
"16368","0","0","0"
"16369","0","0","0"
"16375","0","0","0"
"16376","0","0","0"
"16378","0","0","0"
"16382","0","0","0"
"16392","0","0","0"
"16399","0","0","0"
"16407","0","0","0"
"16411","0","0","0"
"16424","0","0","0"
"16430","0","0","0"
"16438","0","0","0"
"16446","0","0","0"
"16463","0","0","0"
"16466","-1","-1","-1"
"16518","-1","-1","-1"
"16526","0","0","0"
"16527","0","0","0"
"16549","0","0","0"
"16550","0","0","0"
"16572","0","0","0"
"16582","0","0","0"
"16583","0","0","0"
"16593","0","0","0"
"16606","0","0","0"
"16615","0","0","0"
"16627","0","0","0"
"16632","0","0","0"
"16644","0","0","0"
"16647","0","0","0"
"16648","0","0","0"
"16671","0","0","0"
"16686","0","0","0"
"16699","0","0","0"
"16714","0","0","0"
"16717","0","0","0"
"16719","0","0","0"
"16720","0","0","0"
"16727","0","0","0"
"16733","0","0","0"
"16739","0.5","0","1"
"16740","0","0","0"
"16742","0","0","0"
"16746","0","0","0"
"16759","0","0","0"
"16764","0","0","0"
"16777","0","0","0"
"16799","0","0","0"
"16809","0","0","0"
"16811","0","0","0"
"16820","0","0","0"
"16826","0","0","0"
"16837","0","0","0"
"16846","0","0","0"
"16864","0","0","0"
"16865","0","0","0"
"16874","0","0","0"
"16879","0","0","0"
"16956","0","0","0"
"16961","0","0","0"
"16963","0","0","0"
"16966","0","0","0"
"16983","0","0","0"
"16990","0","0","0"
"16995","0","0","0"
"17006","0","0","0"
"17007","0","0","0"
"17015","0","0","0"
"17017","0","0","0"
"17022","0","0","0"
"17024","0","0","0"
"17036","-1","-1","-1"
"17047","0","0","0"
"17071","0","0","0"
"17075","0","0","0"
"17085","0","0","0"
"17088","0","0","0"
"17100","0","0","0"
"17114","0","0","0"
"17135","0","0","0"
"17139","0","0","0"
"17144","0","0","0"
"17148","0","0","0"
"17162","0","0","0"
"17165","0","0","0"
"17167","0","0","0"
"17168","0","0","0"
"17177","0","0","0"
"17184","0","0","0"
"17191","0","0","0"
"17199","0","0","0"
"17220","0","0","0"
"17263","0","0","0"
"17265","0","0","0"
"17279","0","0","0"
"17286","0","0","0"
"17328","1","1","1"
"17336","0","0","0"
"17348","0","0","0"
"17356","0","0","0"
"17365","0","0","0"
"17370","0","0","0"
"17371","0","0","0"
"17383","0","0","0"
"17390","0","0","0"
"17406","0","0","0"
"17421","0","0","0"
"17422","0","0","0"
"17432","0","0","0"
"17446","0","0","0"
"17454","0","0","0"
"17485","0","0","0"
"17488","0","0","0"
"17499","0","0","0"
"17527","0","0","0"
"17534","0","0","0"
"17539","0","0","0"
"17540","0","0","0"
"17548","0","0","0"
"17551","-1","-1","-1"
"17569","0","0","0"
"17578","0","0","0"
"17599","0","0","0"
"17607","0","0","0"
"17611","0","0","0"
"17624","0","0","0"
"17626","0","0","0"
"17638","0","0","0"
"17655","0","0","0"
"17666","0","0","0"
"17700","0","0","0"
"17723","0","0","0"
"17727","0","0","0"
"17728","0","0","0"
"17731","0","0","0"
"17736","0","0","0"
"17748","0","0","0"
"17750","0","0","0"
"17766","0","0","0"
"17770","0","0","0"
"17771","0","0","0"
"17772","0","0","0"
"17783","0","0","0"
"17807","0","0","0"
"17823","0","0","0"
"17824","0","0","0"
"17827","0","0","0"
"17847","0","0","0"
"17862","0","0","0"
"17922","0","0","0"
"17923","0","0","0"
"17939","0","0","0"
"17942","0","0","0"
"17946","0","0","0"
"17948","0","0","0"
"17959","0","0","0"
"17975","0","0","0"
"17978","0","0","0"
"17984","0","0","0"
"17992","0","0","0"
"17999","0","0","0"
"18007","0","0","0"
"18028","-1","-1","-1"
"18030","0","0","0"
"18033","0","0","0"
"18055","0","0","0"
"18065","0","0","0"
"18079","0","0","0"
"18100","0","0","0"
"18112","0","0","0"
"18119","0","0","0"
"18127","0","0","0"
"18128","0","0","0"
"18131","0","0","0"
"18136","0","0","0"
"18145","1","1","1"
"18170","0","0","0"
"18180","0","0","0"
"18221","0","0","0"
"18227","0","0","0"
"18244","0","0","0"
"18247","0","0","0"
"18248","0","0","0"
"18273","0","0","0"
"18285","0","0","0"
"18287","-1","-1","-1"
"18294","0","0","0"
"18298","0","0","0"
"18300","0","0","0"
"18314","0","0","0"
"18319","0","0","0"
"18322","0","0","0"
"18327","0","0","0"
"18330","0","0","0"
"18339","0","0","0"
"18345","0","0","0"
"18358","0","0","0"
"18369","0","0","0"
"18378","0","0","0"
"18384","0","0","0"
"18392","0","0","0"
"18399","0","0","0"
"18412","1","1","1"
"18424","0","0","0"
"18426","0","0","0"
"18433","0","0","0"
"18442","-1","-1","-1"
"18461","0","0","0"
"18465","0","0","0"
