"Step","env: ROBUSTNESS_TEST1 - ep_info/Goal","env: ROBUSTNESS_TEST1 - ep_info/Goal__MIN","env: ROBUSTNESS_TEST1 - ep_info/Goal__MAX"
"27679","0","0","0"
"27702","0","0","0"
"27707","0","0","0"
"27801","0","0","0"
"27812","0","0","0"
"27825","0","0","0"
"27842","0","0","0"
"27867","0","0","0"
"27876","0","0","0"
"27889","0","0","0"
"27890","0","0","0"
"27905","0","0","0"
"27924","0","0","0"
"27929","0","0","0"
"27931","0","0","0"
"27956","0","0","0"
"27957","0","0","0"
"27961","0","0","0"
"27996","1","1","1"
"27997","0","0","0"
"27999","0","0","0"
"28000","0","0","0"
"28005","0","0","0"
"28018","0","0","0"
"28192","0","0","0"
"28212","0","0","0"
"28225","0","0","0"
"28242","0","0","0"
"28250","0","0","0"
"28282","0","0","0"
"28289","0","0","0"
"28318","0","0","0"
"28324","0","0","0"
"28329","0","0","0"
"28378","0","0","0"
"28399","0","0","0"
"28405","0","0","0"
"28432","0","0","0"
"28433","0","0","0"
"28435","0","0","0"
"28436","0","0","0"
"28448","0","0","0"
"28458","0","0","0"
"28462","0","0","0"
"28489","1","1","1"
"28492","0","0","0"
"28532","0","0","0"
"28542","0","0","0"
"28563","0","0","0"
"28573","0","0","0"
"28592","0","0","0"
"28595","0","0","0"
"28605","0","0","0"
"28609","0","0","0"
"28614","0","0","0"
"28638","0","0","0"
"28689","0","0","0"
"28716","0","0","0"
"28718","0","0","0"
"28733","0","0","0"
"28738","0","0","0"
"28746","0","0","0"
"28747","0","0","0"
"28761","0","0","0"
"28781","0","0","0"
"28792","0","0","0"
"28795","0","0","0"
"28797","0","0","0"
"28805","0","0","0"
"28819","0","0","0"
"28833","0","0","0"
"28907","0","0","0"
"28927","0","0","0"
"28997","1","1","1"
"29012","0","0","0"
"29030","0","0","0"
"29042","0","0","0"
"29050","0","0","0"
"29051","0","0","0"
"29072","0","0","0"
"29090","0","0","0"
"29105","0","0","0"
"29133","0","0","0"
"29138","0","0","0"
"29164","0","0","0"
"29176","0","0","0"
"29194","0","0","0"
"29197","0","0","0"
"29199","0","0","0"
"29200","0","0","0"
"29273","0","0","0"
"29289","0","0","0"
"29342","0","0","0"
"29397","0","0","0"
"29407","-1","-1","-1"
"29409","0","0","0"
"29413","0","0","0"
"29477","0","0","0"
"29482","0","0","0"
"29493","1","1","1"
"29505","0","0","0"
"29506","0","0","0"
"29516","0","0","0"
"29518","0","0","0"
"29524","0","0","0"
"29546","0","0","0"
"29556","0","0","0"
"29596","0","0","0"
"29599","0","0","0"
"29605","0","0","0"
"29624","0","0","0"
"29679","0","0","0"
"29736","-1","-1","-1"
"29784","0","0","0"
"29797","0","0","0"
"29867","0","0","0"
"29872","0","0","0"
"29877","0","0","0"
"29882","0","0","0"
"29916","0","0","0"
"29924","0","0","0"
"29933","0","0","0"
"29947","0","0","0"
"29957","0","0","0"
"29961","0","0","0"
"29972","0","0","0"
"29978","0","0","0"
"29995","0","0","0"
"29996","0","0","0"
"29997","0","0","0"
"29999","0","0","0"
"30018","0","0","0"
"30062","0","0","0"
"30079","0","0","0"
"30091","0","0","0"
"30105","0","0","0"
"30107","0","0","0"
"30108","0","0","0"
"30132","0","0","0"
"30136","0","0","0"
"30142","0","0","0"
"30192","0","0","0"
"30252","-1","-1","-1"
"30282","0","0","0"
"30290","0","0","0"
"30366","0","0","0"
"30377","0","0","0"
"30381","0","0","0"
"30399","0","0","0"
"30400","0","0","0"
"30405","0","0","0"
"30424","0","0","0"
"30426","-1","-1","-1"
"30432","0","0","0"
"30448","0","0","0"
"30473","0","0","0"
"30504","0","0","0"
"30508","0","0","0"
"30532","0","0","0"
"30542","0","0","0"
"30572","1","1","1"
"30579","-0.5","-1","0"
"30592","0","0","0"
"30597","0","0","0"
"30612","0","0","0"
"30650","-1","-1","-1"
"30672","0","0","0"
"30690","0","0","0"
"30693","0","0","0"
"30694","-1","-1","-1"
"30705","0","0","0"
"30707","0","0","0"
"30738","0","0","0"
"30799","0","0","0"
"30805","0","0","0"
"30823","0","0","0"
"30835","0","0","0"
"30848","0","0","0"
"30862","0","0","0"
"30891","0","0","0"
"30902","0","0","0"
