"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"1845","-64","-64","-64"
"1846","-53","-53","-53"
"1847","-79","-79","-79"
"1848","-81","-81","-81"
"1849","-75","-75","-75"
"1850","-52","-52","-52"
"1858","-52","-52","-52"
"1860","-50","-50","-50"
"1861","-76","-86","-66"
"1863","-69","-69","-69"
"1864","-58","-58","-58"
"1872","-50","-50","-50"
"1878","-73","-73","-73"
"1882","-54.5","-55","-54"
"1883","-69","-69","-69"
"1889","-53","-53","-53"
"1890","-65","-65","-65"
"1895","-85","-85","-85"
"1896","-63","-73","-53"
"1897","-56","-56","-56"
"1900","-50","-50","-50"
"1903","-51","-51","-51"
"1904","-84","-84","-84"
"1906","-73","-73","-73"
"1907","-71","-71","-71"
"1908","-56","-56","-56"
"1909","-84","-84","-84"
"1913","-71","-71","-71"
"1917","-51","-51","-51"
"1918","-68","-68","-68"
"1924","-60","-60","-60"
"1926","-76.5","-92","-61"
"1929","-76","-76","-76"
"1932","-66","-66","-66"
"1934","-49","-49","-49"
"1935","-85","-85","-85"
"1939","-70","-70","-70"
"1940","-77","-77","-77"
"1941","-59","-59","-59"
"1944","-51","-51","-51"
"1945","-52","-52","-52"
"1948","-52","-52","-52"
"1951","-88","-88","-88"
"1952","-84","-84","-84"
"1955","-70","-70","-70"
"1958","-58","-58","-58"
"1963","-113","-113","-113"
"1967","-56","-56","-56"
"1971","-63","-63","-63"
"1972","-74","-74","-74"
"1975","-88","-88","-88"
"1977","-100","-100","-100"
"1978","-67","-67","-67"
"1982","-74","-74","-74"
"1983","-82","-82","-82"
"1985","-56","-56","-56"
"1986","-53","-53","-53"
"1987","-59","-59","-59"
"1990","-80","-80","-80"
"1992","-55","-55","-55"
"1993","-50","-50","-50"
"1994","-48","-48","-48"
"1997","-55","-55","-55"
"2003","-56","-56","-56"
"2004","-68","-68","-68"
"2005","-56","-56","-56"
"2008","-55","-55","-55"
"2010","-58","-58","-58"
"2017","-58","-58","-58"
"2028","-51","-51","-51"
"2031","-71.5","-87","-56"
"2040","-66","-66","-66"
"2043","-58","-58","-58"
"2045","-65","-65","-65"
"2048","-57.5","-64","-51"
"2050","-60","-60","-60"
"2053","-74","-74","-74"
"2054","-87","-87","-87"
"2056","-76","-76","-76"
"2058","-70","-72","-68"
"2059","-46","-46","-46"
"2060","-90","-90","-90"
"2062","-66","-66","-66"
"2064","-57","-57","-57"
"2066","-62","-62","-62"
"2067","-60","-60","-60"
"2071","-59","-59","-59"
"2075","-80","-80","-80"
"2076","-82","-88","-76"
"2081","-88","-88","-88"
"2083","-50","-50","-50"
"2084","-90","-90","-90"
"2086","-54","-54","-54"
"2091","-60","-60","-60"
"2092","-51","-51","-51"
"2097","-53","-53","-53"
"2102","-83","-83","-83"
"2107","-61","-61","-61"
"2110","-60","-60","-60"
"2111","-78","-78","-78"
"2114","-58","-64","-52"
