"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"1098","-71","-71","-71"
"1099","0","0","0"
"1100","-47","-47","-47"
"1101","-89","-89","-89"
"1103","-27","-49","-5"
"1104","-1","-1","-1"
"1105","-52","-52","-52"
"1107","-1","-1","-1"
"1108","-51","-51","-51"
"1109","-52","-52","-52"
"1110","-1","-1","-1"
"1112","-70","-70","-70"
"1115","-2","-4","0"
"1116","-74","-74","-74"
"1117","-55","-55","-55"
"1118","-51","-51","-51"
"1120","-48","-48","-48"
"1121","-47","-47","-47"
"1122","-71","-71","-71"
"1124","-68","-68","-68"
"1125","-57.5","-65","-50"
"1126","-52","-52","-52"
"1127","0","0","0"
"1129","-59","-59","-59"
"1131","-20.333333333333332","-60","0"
"1132","-26","-78","0"
"1133","-24.5","-49","0"
"1134","0","0","0"
"1135","-58","-58","-58"
"1137","-55","-55","-55"
"1141","-49","-50","-48"
"1142","-57.5","-67","-48"
"1145","-71","-71","-71"
"1146","-44","-44","-44"
"1147","-54","-54","-54"
"1148","-79","-79","-79"
"1149","-67","-67","-67"
"1151","-1","-1","-1"
"1152","-27","-51","-3"
"1153","-49","-49","-49"
"1154","-4","-4","-4"
"1155","-57","-57","-57"
"1156","-71.5","-87","-56"
"1158","-66","-66","-66"
"1159","-72","-72","-72"
"1160","0","0","0"
"1163","-24","-47","-1"
"1165","-24","-48","0"
"1166","-63","-73","-53"
"1167","-34.333333333333336","-53","-1"
"1168","-39.5","-79","0"
"1170","-45","-45","-45"
"1172","-72","-72","-72"
"1173","-2","-2","-2"
"1177","-56","-56","-56"
"1179","-53","-53","-53"
"1183","-26","-50","-2"
"1184","-18.333333333333332","-52","-1"
"1185","-27.5","-55","0"
"1187","-29","-55","-3"
"1189","-62","-62","-62"
"1190","-54","-54","-54"
"1191","-34.333333333333336","-53","-2"
"1192","-2","-2","-2"
"1194","-2","-2","-2"
"1195","-57.666666666666664","-77","-48"
"1196","-2","-2","-2"
"1199","-48","-48","-48"
"1200","-57","-57","-57"
"1201","-48","-48","-48"
"1202","-35","-69","-1"
"1204","-52","-52","-52"
"1205","-48","-48","-48"
"1206","-87","-87","-87"
"1207","-50","-50","-50"
"1208","-59","-59","-59"
"1211","-49","-68","-7"
"1212","-1","-1","-1"
"1214","-38.5","-74","-3"
"1215","-86","-86","-86"
"1216","-38.333333333333336","-65","-4"
"1217","-57","-57","-57"
"1218","-56","-56","-56"
"1220","-63","-63","-63"
"1221","-52","-52","-52"
"1223","-3","-3","-3"
"1224","-30","-55","-5"
"1227","-27.5","-50","-5"
"1229","-50","-50","-50"
"1230","-69","-69","-69"
"1232","-2","-2","-2"
"1233","-52","-52","-52"
"1234","-53","-53","-53"
"1235","-50","-50","-50"
"1236","-79","-79","-79"
"1239","-3","-3","-3"
"1241","-42.5","-79","-6"
"1242","-73","-73","-73"
"1244","-63.5","-69","-58"
"1245","-2","-2","-2"
"1246","-47","-47","-47"
"1248","-52","-52","-52"
"1251","-77","-77","-77"
"1253","-60","-60","-60"
"1254","-4","-4","-4"
"1255","-56","-63","-49"
"1257","-42.666666666666664","-68","-1"
"1259","-51","-51","-51"
"1261","-52","-52","-52"
"1263","-49.333333333333336","-51","-48"
"1268","-78","-78","-78"
"1269","-54","-54","-54"
"1270","-52","-52","-52"
"1271","-42","-42","-42"
"1272","-35.333333333333336","-54","-5"
"1274","-1","-1","-1"
"1275","-48","-48","-48"
"1276","-1","-1","-1"
"1277","-71","-71","-71"
"1278","-30.5","-58","-3"
"1280","-41","-41","-41"
"1281","-42","-81","-3"
"1282","-83","-83","-83"
"1283","-64","-64","-64"
"1284","-39.333333333333336","-62","-3"
"1285","-48","-48","-48"
"1288","-61","-61","-61"
"1289","-2","-2","-2"
"1291","-80","-80","-80"
"1292","-5","-5","-5"
"1294","-36.666666666666664","-56","-5"
"1295","-2","-2","-2"
"1298","-5","-5","-5"
"1299","-59","-68","-50"
"1300","-4","-4","-4"
"1301","-47","-47","-47"
"1303","-32","-60","-4"
"1305","-48","-48","-48"
"1308","-51","-51","-51"
"1312","-7","-7","-7"
"1313","-3","-4","-2"
"1314","-53","-53","-53"
"1315","-34.333333333333336","-53","-1"
"1316","-40","-79","-1"
"1317","-69","-69","-69"
"1318","-69","-69","-69"
"1321","-1","-1","-1"
"1322","0","0","0"
"1323","-57","-57","-57"
"1324","-65","-65","-65"
"1325","-77","-77","-77"
"1326","-67.5","-86","-49"
"1330","-54","-54","-54"
"1331","-49","-49","-49"
"1332","-62","-75","-49"
"1336","-18.333333333333332","-50","-2"
"1338","-59.5","-66","-53"
"1340","-48.333333333333336","-79","-2"
"1341","-67","-67","-67"
"1342","-62.5","-75","-50"
"1344","-58","-58","-58"
"1346","-51.5","-54","-49"
"1347","-2","-2","-2"
"1348","-64","-77","-51"
"1349","-51","-51","-51"
"1350","-30","-51","-9"
"1352","-2","-2","-2"
"1356","0","0","0"
"1358","-24","-47","-1"
"1359","-47","-47","-47"
"1360","-38","-73","-3"
"1363","-76.5","-77","-76"
"1368","-2","-2","-2"
"1373","-42.333333333333336","-79","-2"
"1375","-49","-49","-49"
"1377","-65","-65","-65"
"1379","-21.666666666666668","-60","-2"
"1380","-4","-4","-4"
"1381","-44","-70","-6"
"1382","-83.5","-106","-61"
"1383","-2","-2","-2"
"1384","-27","-49","-5"
"1386","-54","-54","-54"
"1387","-67","-67","-67"
"1389","-54","-54","-54"
"1390","-2","-2","-2"
"1393","-61","-75","-47"
"1395","-43","-77","-9"
"1396","-70","-70","-70"
"1397","-2.5","-3","-2"
"1400","-49","-49","-49"
"1401","-26.5","-50","-3"
"1402","-59","-59","-59"
"1403","-55","-55","-55"
"1404","-60.5","-65","-56"
"1405","-2","-2","-2"
"1406","-49","-49","-49"
"1407","-66","-66","-66"
"1408","-27","-51","-3"
"1409","-51.75","-80","-3"
"1410","-68.5","-83","-54"
"1411","-2","-2","-2"
"1412","-76","-76","-76"
"1413","-57","-66","-48"
"1414","-52","-52","-52"
"1416","-25.5","-50","-1"
"1417","-52","-52","-52"
"1422","-2","-2","-2"
"1423","-43","-82","-4"
"1424","-50","-50","-50"
"1425","-81","-81","-81"
"1429","-29","-56","-2"
"1430","-40.5","-77","-4"
"1432","-50","-50","-50"
"1433","-38.333333333333336","-62","-5"
"1434","-55","-55","-55"
"1437","-49.5","-50","-49"
"1441","-56","-56","-56"
"1444","-1","-1","-1"
"1445","-2","-2","-2"
"1447","-33","-66","0"
"1448","-56","-56","-56"
"1449","-74","-74","-74"
"1451","-53","-53","-53"
"1455","-69","-69","-69"
"1456","-28","-52","-4"
"1457","-3","-3","-3"
"1459","-60","-60","-60"
"1460","-56","-56","-56"
"1461","-77","-77","-77"
"1462","-51","-56","-46"
"1463","-4","-4","-4"
"1464","-4","-6","-2"
"1465","-63.5","-78","-49"
"1466","-11","-11","-11"
"1467","-71","-71","-71"
"1468","-83.5","-88","-79"
"1469","-63","-73","-53"
"1472","-4","-4","-4"
"1473","-63","-63","-63"
"1474","-46","-46","-46"
"1476","-48","-48","-48"
"1477","-64","-64","-64"
"1478","-54.5","-59","-50"
"1480","-37.5","-74","-1"
"1481","-4","-4","-4"
"1484","-48","-48","-48"
"1485","-47","-47","-47"
"1486","-53","-53","-53"
"1488","-40.75","-81","-3"
"1490","-75","-75","-75"
"1491","-53","-53","-53"
"1492","0","0","0"
"1494","-66","-85","-47"
"1495","-37","-59","-6"
"1499","-49","-49","-49"
"1500","-29.5","-56","-3"
"1503","-5","-5","-5"
"1504","-52.5","-55","-50"
"1508","-5","-5","-5"
"1510","-38.666666666666664","-59","-6"
"1511","-86","-86","-86"
"1514","-27","-49","-5"
"1517","-56","-56","-56"
"1520","-42","-71","-3"
"1522","-60","-60","-60"
"1523","-1","-1","-1"
"1524","-62","-62","-62"
"1527","-29","-57","-1"
"1528","-71","-71","-71"
"1529","-60","-60","-60"
"1530","-55","-68","-42"
"1531","-56.5","-65","-48"
"1532","-39","-73","-5"
"1533","-4","-4","-4"
"1534","-66.5","-70","-63"
"1535","-5","-5","-5"
"1536","-55","-55","-55"
"1539","-3","-3","-3"
"1540","-57","-64","-50"
"1544","-54","-54","-54"
"1545","-53","-53","-53"
"1546","-27","-50","-4"
"1548","-82","-82","-82"
"1549","-79","-79","-79"
"1550","-7","-7","-7"
"1551","-37.333333333333336","-59","-3"
"1553","-34","-54","-2"
"1556","-49.5","-54","-45"
"1558","-77","-77","-77"
"1559","-61","-61","-61"
"1562","-46","-82","-6"
"1564","-72","-72","-72"
"1565","-53","-53","-53"
"1566","-70","-70","-70"
"1567","-32","-62","-2"
"1568","-80","-80","-80"
"1569","0","0","0"
"1570","-1","-1","-1"
"1574","-4","-4","-4"
"1576","-27","-46","-8"
"1578","-66","-66","-66"
"1580","-49","-49","-49"
"1581","-13","-13","-13"
"1582","-44","-79","-4"
"1583","-48","-48","-48"
"1585","-49.5","-53","-46"
"1586","-43","-43","-43"
"1587","-48","-51","-45"
"1588","-47","-47","-47"
"1590","-66","-66","-66"
"1592","-1","-1","-1"
"1594","-2","-2","-2"
"1595","-73","-73","-73"
"1596","-4","-4","-4"
"1597","-34.5","-65","-4"
"1599","-68","-68","-68"
"1600","-52","-60","-44"
"1602","-72","-72","-72"
"1603","-7","-9","-5"
"1604","-25","-47","-3"
"1605","-58","-58","-58"
"1606","-2","-2","-2"
"1607","-58.5","-72","-45"
"1612","-2","-2","-2"
