"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"883","24","0","30"
"884","24","0","30"
"885","24","0","30"
"886","24","0","30"
"887","27","0","30"
"888","24","0","30"
"889","21","0","30"
"890","27","0","30"
"891","24","0","30"
"892","27","0","30"
"893","21","0","30"
"894","18","0","30"
"895","15","0","30"
"896","21","0","30"
"897","21","0","30"
"898","18","0","30"
"899","18","0","30"
"900","21","0","30"
"901","24","0","30"
"902","21","0","30"
"903","21","0","30"
"904","27","0","30"
"905","21","0","30"
"906","21","0","30"
"907","24","0","30"
"908","24","0","30"
"909","21","0","30"
"910","24","0","30"
"911","21","0","30"
"912","21","0","30"
"913","21","0","30"
"914","24","0","30"
"915","21","0","30"
"916","21","0","30"
"917","18","0","30"
"918","21","0","30"
"919","21","0","30"
"920","21","0","30"
"921","21","0","30"
"922","24","0","30"
"923","21","0","30"
"924","21","0","30"
"925","21","0","30"
"926","24","0","30"
"927","24","0","30"
"928","24","0","30"
"929","24","0","30"
"930","27","0","30"
"931","21","0","30"
"932","24","0","30"
"933","27","0","30"
"934","24","0","30"
"935","27","0","30"
"936","21","0","30"
"937","24","0","30"
"938","24","0","30"
"939","27","0","30"
"940","24","0","30"
"941","27","0","30"
"942","24","0","30"
"943","27","0","30"
"944","27","0","30"
"945","21","0","30"
"946","24","0","30"
"947","27","0","30"
"948","27","0","30"
"949","24","0","30"
"950","27","0","30"
"951","27","0","30"
"952","27","0","30"
"953","21","0","30"
"954","21","0","30"
"955","24","0","30"
"956","21","0","30"
"957","24","0","30"
"958","21","0","30"
"959","24","0","30"
"960","24","0","30"
"961","24","0","30"
"962","27","0","30"
"963","27","0","30"
"964","21","0","30"
"965","24","0","30"
"966","21","0","30"
"967","21","0","30"
"968","24","0","30"
"969","24","0","30"
"970","21","0","30"
"971","24","0","30"
"972","27","0","30"
"973","27","0","30"
"974","27","0","30"
"975","27","0","30"
"976","27","0","30"
"977","27","0","30"
"978","24","0","30"
"979","24","0","30"
"980","27","0","30"
"981","27","0","30"
"982","27","0","30"
"983","24","0","30"
"984","27","0","30"
"985","27","0","30"
"986","27","0","30"
"987","21","0","30"
"988","27","0","30"
"989","24","0","30"
"990","21","0","30"
"991","21","0","30"
"992","24","0","30"
"993","21","0","30"
"994","21","0","30"
"995","15","0","30"
"996","15","0","30"
"997","21","0","30"
"998","18","0","30"
"999","21","0","30"
"1000","21","0","30"
"1001","18","0","30"
