"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"1343","-1","-1","-1"
"1346","-1","-1","-1"
"1347","-1","-1","-1"
"1349","-1","-1","-1"
"1351","-1","-1","-1"
"1352","-1","-1","-1"
"1353","-1","-1","-1"
"1356","-1","-1","-1"
"1358","-1","-1","-1"
"1359","-1","-1","-1"
"1360","-1","-1","-1"
"1361","-1","-1","-1"
"1362","-1","-1","-1"
"1368","-1","-1","-1"
"1369","-1","-1","-1"
"1370","-1","-1","-1"
"1371","-1","-1","-1"
"1372","-1","-1","-1"
"1374","-1","-1","-1"
"1375","-1","-1","-1"
"1377","-1","-1","-1"
"1378","-1","-1","-1"
"1379","-1","-1","-1"
"1380","-1","-1","-1"
"1381","-1","-1","-1"
"1382","-1","-1","-1"
"1385","-1","-1","-1"
"1386","-1","-1","-1"
"1387","-1","-1","-1"
"1396","-1","-1","-1"
"1399","-1","-1","-1"
"1400","-1","-1","-1"
"1401","-1","-1","-1"
"1404","-1","-1","-1"
"1406","-1","-1","-1"
"1407","-1","-1","-1"
"1408","-1","-1","-1"
"1409","-1","-1","-1"
"1411","-1","-1","-1"
"1417","-1","-1","-1"
"1418","-1","-1","-1"
"1420","-1","-1","-1"
"1422","-1","-1","-1"
"1423","-1","-1","-1"
"1425","-1","-1","-1"
"1428","-1","-1","-1"
"1429","-1","-1","-1"
"1430","-1","-1","-1"
"1432","-1","-1","-1"
"1435","-1","-1","-1"
"1437","-1","-1","-1"
"1438","-1","-1","-1"
"1440","-1","-1","-1"
"1443","-1","-1","-1"
"1444","-1","-1","-1"
"1445","-1","-1","-1"
"1451","-1","-1","-1"
"1453","-1","-1","-1"
"1454","-1","-1","-1"
"1457","-1","-1","-1"
"1458","-1","-1","-1"
"1462","-1","-1","-1"
"1465","-1","-1","-1"
"1466","-1","-1","-1"
"1468","-1","-1","-1"
"1471","-1","-1","-1"
"1472","-1","-1","-1"
"1473","-1","-1","-1"
"1477","-1","-1","-1"
"1478","-1","-1","-1"
"1480","-1","-1","-1"
"1481","-1","-1","-1"
"1482","-1","-1","-1"
"1484","-1","-1","-1"
"1491","-1","-1","-1"
"1494","-1","-1","-1"
"1495","-1","-1","-1"
"1496","-1","-1","-1"
"1498","-1","-1","-1"
"1500","-1","-1","-1"
"1501","-1","-1","-1"
"1503","-1","-1","-1"
"1504","-1","-1","-1"
"1505","-1","-1","-1"
"1508","-1","-1","-1"
"1509","-1","-1","-1"
"1510","-1","-1","-1"
"1511","-1","-1","-1"
"1514","-1","-1","-1"
"1515","-1","-1","-1"
"1516","-1","-1","-1"
"1517","-1","-1","-1"
"1518","-1","-1","-1"
"1520","-1","-1","-1"
"1522","-1","-1","-1"
"1523","-1","-1","-1"
"1525","-1","-1","-1"
"1527","-1","-1","-1"
"1530","-1","-1","-1"
"1531","-1","-1","-1"
"1538","-1","-1","-1"
"1539","-1","-1","-1"
"1540","-1","-1","-1"
"1541","-1","-1","-1"
"1543","-1","-1","-1"
"1545","-1","-1","-1"
"1546","-1","-1","-1"
"1548","-1","-1","-1"
"1550","-1","-1","-1"
"1552","-1","-1","-1"
"1554","-1","-1","-1"
"1555","-1","-1","-1"
"1558","-1","-1","-1"
"1560","-1","-1","-1"
"1562","-1","-1","-1"
"1564","-1","-1","-1"
"1565","-1","-1","-1"
"1566","-1","-1","-1"
"1567","-1","-1","-1"
"1569","-1","-1","-1"
"1572","-1","-1","-1"
"1575","-1","-1","-1"
"1578","-1","-1","-1"
"1580","-1","-1","-1"
"1581","-1","-1","-1"
"1583","-1","-1","-1"
"1585","-1","-1","-1"
"1587","-1","-1","-1"
"1588","-1","-1","-1"
"1589","-1","-1","-1"
"1590","-1","-1","-1"
"1591","-1","-1","-1"
"1592","-1","-1","-1"
"1594","-1","-1","-1"
"1597","-1","-1","-1"
"1598","-1","-1","-1"
"1600","-1","-1","-1"
"1601","-1","-1","-1"
"1602","-1","-1","-1"
"1605","-1","-1","-1"
"1607","-1","-1","-1"
"1608","-1","-1","-1"
"1610","-1","-1","-1"
"1611","-1","-1","-1"
"1612","-1","-1","-1"
"1613","-1","-1","-1"
"1614","-1","-1","-1"
"1616","-1","-1","-1"
"1617","-1","-1","-1"
"1620","-1","-1","-1"
"1624","-1","-1","-1"
"1625","-1","-1","-1"
"1627","-1","-1","-1"
"1628","-1","-1","-1"
"1629","-1","-1","-1"
