"Step","setup: Dylam - ep_info/Banana","setup: Dylam - ep_info/Banana__MIN","setup: Dylam - ep_info/Banana__MAX","setup: Drq - ep_info/Banana","setup: Drq - ep_info/Banana__MIN","setup: Drq - ep_info/Banana__MAX","setup: Decq - ep_info/Banana","setup: Decq - ep_info/Banana__MIN","setup: Decq - ep_info/Banana__MAX","setup: Baseline - ep_info/Banana","setup: Baseline - ep_info/Banana__MIN","setup: Baseline - ep_info/Banana__MAX"
"307","26.25","0","30","30","30","30","21","0","30","21","0","30"
"308","26.25","0","30","30","30","30","24","0","30","24","0","30"
"309","30","30","30","30","30","30","21","0","30","24","0","30"
"310","30","30","30","30","30","30","21","0","30","24","0","30"
"311","26.25","0","30","24","0","30","24","0","30","24","0","30"
"312","30","30","30","30","30","30","18","0","30","24","0","30"
"313","26.25","0","30","30","30","30","18","0","30","24","0","30"
"314","26.25","0","30","30","30","30","24","0","30","24","0","30"
"315","30","30","30","30","30","30","27","0","30","24","0","30"
"316","26.25","0","30","30","30","30","18","0","30","24","0","30"
"317","30","30","30","30","30","30","21","0","30","24","0","30"
"318","30","30","30","30","30","30","18","0","30","24","0","30"
"319","26.25","0","30","30","30","30","21","0","30","24","0","30"
"320","30","30","30","30","30","30","18","0","30","24","0","30"
"321","30","30","30","30","30","30","21","0","30","24","0","30"
"322","26.25","0","30","27","0","30","18","0","30","24","0","30"
"323","30","30","30","30","30","30","18","0","30","24","0","30"
"324","30","30","30","30","30","30","18","0","30","24","0","30"
"325","26.25","0","30","30","30","30","21","0","30","24","0","30"
"326","30","30","30","27","0","30","21","0","30","24","0","30"
"327","30","30","30","27","0","30","21","0","30","24","0","30"
"328","30","30","30","27","0","30","21","0","30","24","0","30"
"329","30","30","30","27","0","30","21","0","30","24","0","30"
"330","30","30","30","30","30","30","18","0","30","24","0","30"
"331","26.25","0","30","30","30","30","18","0","30","24","0","30"
"332","26.25","0","30","30","30","30","21","0","30","24","0","30"
"333","30","30","30","30","30","30","21","0","30","24","0","30"
"334","30","30","30","30","30","30","21","0","30","24","0","30"
"335","26.25","0","30","30","30","30","21","0","30","24","0","30"
"336","30","30","30","30","30","30","21","0","30","24","0","30"
"337","30","30","30","24","0","30","18","0","30","24","0","30"
"338","30","30","30","30","30","30","27","0","30","24","0","30"
"339","30","30","30","30","30","30","21","0","30","24","0","30"
"340","26.25","0","30","30","30","30","24","0","30","21","0","30"
"341","26.25","0","30","27","0","30","24","0","30","27","0","30"
"342","30","30","30","27","0","30","21","0","30","24","0","30"
"343","30","30","30","30","30","30","18","0","30","24","0","30"
"344","30","30","30","30","30","30","24","0","30","24","0","30"
"345","30","30","30","30","30","30","24","0","30","24","0","30"
