"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"298","8.75","0","70","0","0","0","21","0","70","0","0","0"
"299","0","0","0","0","0","0","14","0","70","0","0","0"
"300","0","0","0","7","0","70","14","0","70","0","0","0"
"301","0","0","0","0","0","0","7","0","70","0","0","0"
"302","0","0","0","0","0","0","14","0","70","0","0","0"
"303","0","0","0","0","0","0","7","0","70","0","0","0"
"304","0","0","0","0","0","0","21","0","70","0","0","0"
"305","0","0","0","0","0","0","7","0","70","0","0","0"
"306","8.75","0","70","0","0","0","14","0","70","0","0","0"
"307","0","0","0","0","0","0","7","0","70","7","0","70"
"308","0","0","0","0","0","0","14","0","70","0","0","0"
"309","0","0","0","0","0","0","14","0","70","0","0","0"
"310","0","0","0","0","0","0","14","0","70","0","0","0"
"311","0","0","0","0","0","0","14","0","70","0","0","0"
"312","8.75","0","70","0","0","0","28","0","70","0","0","0"
"313","0","0","0","0","0","0","28","0","70","0","0","0"
"314","0","0","0","0","0","0","28","0","70","0","0","0"
"315","0","0","0","0","0","0","14","0","70","0","0","0"
"316","0","0","0","7","0","70","14","0","70","0","0","0"
"317","0","0","0","0","0","0","21","0","70","0","0","0"
"318","0","0","0","0","0","0","21","0","70","0","0","0"
"319","0","0","0","0","0","0","7","0","70","0","0","0"
"320","0","0","0","0","0","0","14","0","70","0","0","0"
"321","0","0","0","0","0","0","14","0","70","7","0","70"
"322","0","0","0","0","0","0","14","0","70","0","0","0"
"323","0","0","0","0","0","0","7","0","70","0","0","0"
"324","0","0","0","0","0","0","14","0","70","0","0","0"
"325","0","0","0","0","0","0","21","0","70","0","0","0"
"326","8.75","0","70","0","0","0","28","0","70","0","0","0"
"327","8.75","0","70","0","0","0","28","0","70","0","0","0"
"328","0","0","0","7","0","70","7","0","70","0","0","0"
"329","8.75","0","70","0","0","0","35","0","70","0","0","0"
"330","0","0","0","0","0","0","14","0","70","0","0","0"
"331","0","0","0","0","0","0","21","0","70","0","0","0"
"332","0","0","0","0","0","0","14","0","70","0","0","0"
"333","17.5","0","70","0","0","0","21","0","70","0","0","0"
"334","0","0","0","0","0","0","14","0","70","0","0","0"
"335","0","0","0","0","0","0","14","0","70","0","0","0"
"336","0","0","0","0","0","0","21","0","70","0","0","0"
"337","0","0","0","0","0","0","21","0","70","0","0","0"
"338","0","0","0","0","0","0","28","0","70","0","0","0"
"339","0","0","0","0","0","0","28","0","70","0","0","0"
"340","8.75","0","70","0","0","0","14","0","70","0","0","0"
"341","0","0","0","0","0","0","21","0","70","0","0","0"
"342","0","0","0","0","0","0","21","0","70","0","0","0"
"343","0","0","0","0","0","0","21","0","70","0","0","0"
"344","0","0","0","0","0","0","21","0","70","0","0","0"
"345","0","0","0","0","0","0","28","0","70","0","0","0"
"346","0","0","0","0","0","0","14","0","70","0","0","0"
"347","0","0","0","0","0","0","35","0","70","0","0","0"
"348","0","0","0","0","0","0","35","0","70","0","0","0"
"349","0","0","0","0","0","0","14","0","70","0","0","0"
"350","0","0","0","0","0","0","14","0","70","7","0","70"
"351","0","0","0","0","0","0","28","0","70","0","0","0"
"352","0","0","0","0","0","0","21","0","70","0","0","0"
"353","8.75","0","70","0","0","0","28","0","70","0","0","0"
"354","0","0","0","0","0","0","21","0","70","0","0","0"
"355","0","0","0","0","0","0","21","0","70","0","0","0"
"356","0","0","0","7","0","70","21","0","70","0","0","0"
"357","0","0","0","0","0","0","21","0","70","0","0","0"
"358","0","0","0","0","0","0","21","0","70","0","0","0"
"359","0","0","0","0","0","0","35","0","70","0","0","0"
"360","0","0","0","0","0","0","28","0","70","0","0","0"
"361","8.75","0","70","0","0","0","28","0","70","0","0","0"
"362","0","0","0","0","0","0","21","0","70","7","0","70"
"363","0","0","0","0","0","0","28","0","70","0","0","0"
"364","0","0","0","0","0","0","21","0","70","0","0","0"
"365","0","0","0","0","0","0","28","0","70","0","0","0"
"366","0","0","0","0","0","0","35","0","70","0","0","0"
"367","0","0","0","0","0","0","42","0","70","7","0","70"
"368","0","0","0","0","0","0","28","0","70","0","0","0"
"369","0","0","0","0","0","0","21","0","70","0","0","0"
"370","8.75","0","70","0","0","0","28","0","70","0","0","0"
"371","0","0","0","0","0","0","35","0","70","0","0","0"
"372","0","0","0","0","0","0","21","0","70","0","0","0"
"373","0","0","0","0","0","0","28","0","70","0","0","0"
"374","0","0","0","0","0","0","28","0","70","0","0","0"
"375","0","0","0","0","0","0","14","0","70","0","0","0"
"376","0","0","0","0","0","0","35","0","70","0","0","0"
"377","0","0","0","0","0","0","14","0","70","0","0","0"
"378","8.75","0","70","0","0","0","28","0","70","0","0","0"
"379","0","0","0","0","0","0","28","0","70","7","0","70"
"380","0","0","0","0","0","0","21","0","70","0","0","0"
"381","0","0","0","0","0","0","42","0","70","0","0","0"
"382","0","0","0","0","0","0","35","0","70","0","0","0"
"383","0","0","0","0","0","0","35","0","70","7","0","70"
"384","0","0","0","0","0","0","28","0","70","0","0","0"
"385","0","0","0","0","0","0","21","0","70","0","0","0"
"386","0","0","0","0","0","0","28","0","70","0","0","0"
"387","0","0","0","0","0","0","21","0","70","0","0","0"
"388","0","0","0","0","0","0","14","0","70","7","0","70"
"389","8.75","0","70","0","0","0","28","0","70","0","0","0"
"390","8.75","0","70","0","0","0","28","0","70","0","0","0"
