"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"355","0.2","0","1","-64","-72","-44","-125.2","-134","-102"
"356","0","0","0","-66.8","-71","-61","-133.2","-139","-129"
"357","0","0","0","-64","-69","-60","-136","-140","-131"
"358","0","0","0","-68.8","-72","-65","-131.2","-135","-128"
"359","0.2","0","1","-63.2","-71","-44","-127.6","-135","-110"
"360","0.2","0","1","-62.2","-70","-42","-125","-134","-94"
"361","0","0","0","-64.4","-69","-62","-135.6","-138","-131"
"362","0.2","0","1","-60.6","-76","-29","-119.8","-139","-73"
"363","0","0","0","-64.6","-69","-60","-135.4","-140","-131"
"364","0.2","0","1","-64.6","-69","-59","-133.6","-135","-131"
"365","0","0","0","-66.4","-73","-62","-133.6","-138","-127"
"366","0.2","0","1","-62.8","-75","-44","-125.8","-137","-99"
"367","0","0","0","-65.8","-68","-62","-134.2","-138","-132"
"368","0","0","0","-66.6","-71","-62","-133.4","-138","-129"
"369","0.4","0","1","-61.8","-75","-35","-116.4","-130","-72"
"370","0","0","0","-65.4","-68","-63","-134.6","-137","-132"
"371","0","0","0","-64.8","-71","-59","-135.2","-141","-129"
"372","0","0","0","-67.4","-71","-65","-132.6","-135","-129"
"373","0","0","0","-68","-70","-67","-132","-133","-130"
"374","0.2","0","1","-60.4","-65","-51","-130.4","-140","-103"
"375","0","0","0","-65.4","-69","-62","-134.6","-138","-131"
"376","0.2","0","1","-61.8","-70","-47","-129.4","-141","-109"
"377","0.2","0","1","-55.8","-71","-17","-115","-141","-37"
"378","0.2","0","1","-61","-71","-36","-126.6","-135","-102"
"379","0","0","0","-70.8","-77","-64","-129.2","-136","-123"
"380","0.2","0","1","-65.2","-70","-53","-131.8","-134","-130"
"381","0","0","0","-68","-74","-63","-132","-137","-126"
"382","0","0","0","-64.8","-68","-60","-135.2","-140","-132"
"383","0","0","0","-64.6","-69","-59","-135.4","-141","-131"
"384","0.2","0","1","-62.6","-69","-53","-134","-139","-130"
"385","0.2","0","1","-58.8","-73","-23","-117.6","-138","-59"
"386","0","0","0","-67","-70","-61","-133","-139","-130"
"387","0","0","0","-65.6","-70","-61","-134.4","-139","-130"
"388","0.2","0","1","-54.2","-72","-4","-109.4","-136","-14"
"389","0","0","0","-67.4","-72","-62","-132.6","-138","-128"
"390","0.4","0","1","-56.6","-66","-41","-125.6","-138","-104"
"391","0.2","0","1","-57.6","-73","-18","-115.4","-136","-47"
"392","0","0","0","-65.8","-68","-64","-134.2","-136","-132"
"393","0.2","0","1","-60.2","-66","-49","-132.2","-142","-113"
"394","0","0","0","-66.4","-68","-66","-133.6","-134","-132"
"395","0.2","0","1","-63.8","-68","-59","-134.6","-139","-132"
"396","0.2","0","1","-57.2","-71","-21","-124.4","-138","-87"
"397","0","0","0","-67","-73","-60","-133","-140","-127"
"398","0.2","0","1","-55.4","-71","-12","-111.8","-142","-24"
"399","0","0","0","-66.8","-70","-61","-133.2","-139","-130"
"400","0","0","0","-66.6","-70","-61","-133.4","-139","-130"
"401","0.2","0","1","-62","-73","-38","-126","-136","-102"
"402","0.2","0","1","-64.6","-71","-45","-128.6","-132","-121"
"403","0.2","0","1","-62","-68","-50","-133","-140","-125"
"404","0.2","0","1","-55.6","-72","-14","-117.2","-139","-50"
"405","0","0","0","-63.8","-68","-58","-136.2","-142","-132"
"406","0.2","0","1","-65.2","-71","-60","-133.8","-140","-129"
"407","0","0","0","-65.2","-70","-60","-134.8","-140","-130"
"408","0","0","0","-63.2","-66","-60","-136.8","-140","-134"
