"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"23191","0","0","0"
"23202","0","0","0"
"23211","0","0","0"
"23234","0","0","0"
"23236","0","0","0"
"23246","0","0","0"
"23250","0","0","0"
"23270","-1","-1","-1"
"23272","0","0","0"
"23282","0","0","0"
"23303","0","0","0"
"23327","0","0","0"
"23335","0","0","0"
"23349","0","0","0"
"23353","0","0","0"
"23407","0","0","0"
"23421","0","0","0"
"23422","0","0","0"
"23423","0","0","0"
"23434","0","0","0"
"23436","0","0","0"
"23463","0","0","0"
"23494","0","0","0"
"23518","0","0","0"
"23527","0","0","0"
"23530","0","0","0"
"23542","0","0","0"
"23547","0","0","0"
"23552","0","0","0"
"23556","1","1","1"
"23565","0","0","0"
"23586","0","0","0"
"23591","0","0","0"
"23623","0","0","0"
"23661","0","0","0"
"23682","0","0","0"
"23700","0","0","0"
"23703","0","0","0"
"23715","0","0","0"
"23734","-1","-1","-1"
"23735","0","0","0"
"23744","0","0","0"
"23801","0","0","0"
"23807","0","0","0"
"23820","0","0","0"
"23834","0","0","0"
"23843","0","0","0"
"23942","0","0","0"
"23950","0","0","0"
"23956","0","0","0"
"23967","0","0","0"
"23990","0","0","0"
"23991","0","0","0"
"24004","0","0","0"
"24023","0","0","0"
"24050","0","0","0"
"24061","0","0","0"
"24067","0","0","0"
"24068","0","0","0"
"24070","0","0","0"
"24072","0","0","0"
"24082","0","0","0"
"24091","0","0","0"
"24103","0","0","0"
"24110","0","0","0"
"24127","0","0","0"
"24134","0","0","0"
"24199","0","0","0"
"24201","0","0","0"
"24220","-0.5","-1","0"
"24223","0","0","0"
"24224","1","1","1"
"24231","0","0","0"
"24236","0","0","0"
"24240","0","0","0"
"24243","0","0","0"
"24270","0","0","0"
"24303","0","0","0"
"24327","0","0","0"
"24343","1","1","1"
"24347","0","0","0"
"24356","0","0","0"
"24365","0","0","0"
"24367","0","0","0"
"24398","-1","-1","-1"
"24399","0","0","0"
"24433","0","0","0"
"24434","0","0","0"
"24436","0","0","0"
"24446","0","0","0"
"24503","0","0","0"
"24515","0","0","0"
"24535","0","0","0"
"24549","0","0","0"
"24557","1","1","1"
"24572","0","0","0"
