"Step","env: HALFCHEETAH - lambdas/component_0","env: HALFCHEETAH - lambdas/component_0__MIN","env: HALFCHEETAH - lambdas/component_0__MAX"
"57400","0.861544394493103","0.8433355093002319","0.8817809820175171"
"57500","0.8597021341323853","0.8413547873497009","0.8799793720245361"
"57600","0.8578762769699096","0.8393921256065369","0.8781931400299072"
"57700","0.8560667157173156","0.837447464466095","0.876422643661499"
"57800","0.8542733192443848","0.835520327091217","0.8746673464775085"
"57900","0.8524959802627563","0.833611011505127","0.8729273676872253"
"58000","0.8507306814193726","0.831714928150177","0.8711988925933838"
"58100","0.8487927198410035","0.8296403288841248","0.8692984580993652"
"58200","0.8468719363212586","0.8275845050811768","0.8674145340919495"
"58300","0.8449683547019958","0.8255472779273987","0.8655466437339783"
"58400","0.8430818438529968","0.823529064655304","0.8636952042579651"
"58500","0.8412123084068298","0.8215292096138","0.8618601560592651"
"58600","0.8393595695495606","0.819547712802887","0.8600412011146545"
"58700","0.8375235795974731","0.8175846934318542","0.8582382202148438"
"58800","0.835704231262207","0.8156396746635437","0.8564509749412537"
"58900","0.833901333808899","0.8137129545211792","0.8546795845031738"
"59000","0.8321111679077149","0.8118001818656921","0.8529201745986938"
"59100","0.8301562666893005","0.8097225427627563","0.8509807586669922"
"59200","0.8282190322875976","0.8076640963554382","0.8490584492683411"
"59300","0.8262992024421691","0.8056245446205139","0.8471528887748718"
"59400","0.8243968844413757","0.8036043047904968","0.8452643156051636"
"59500","0.8225120067596435","0.8016026616096497","0.8433927893638611"
"59600","0.8206443309783935","0.7996198534965515","0.8415378332138062"
"59700","0.818793797492981","0.7976557612419128","0.839699387550354"
"59800","0.8169602632522583","0.795710027217865","0.8378774523735046"
"59900","0.8151435613632202","0.7937825918197632","0.8360719680786133"
"60000","0.8133402228355407","0.7918699383735657","0.8342788219451904"
"60100","0.811383867263794","0.7898112535476685","0.8323124647140503"
"60200","0.8094453930854797","0.787771463394165","0.8303637504577637"
"60300","0.8075249195098877","0.7857514023780823","0.8284326791763306"
"60400","0.8056221246719361","0.783750057220459","0.8265189528465271"
